DrawDate,Win1,Win2,Win3,Win4,Win5,Win6,Win7,Bonus,Extra1,Extra2,Extra3,Extra4
2024-01-02,9,10,16,29,36,37,50,20,10,13,85,87
2023-12-29,3,6,9,25,30,36,42,34,26,39,42,53
2023-12-26,1,11,13,17,42,45,49,23,32,38,76,88
2023-12-22,8,16,19,25,30,33,47,10,20,40,47,58
2023-12-19,2,3,4,13,21,35,38,50,7,23,27,88
2023-12-15,1,2,13,15,20,21,45,8,57,58,83,97
2023-12-12,2,6,22,23,28,30,42,43,3,21,29,56
2023-12-08,8,9,11,23,25,32,34,20,7,25,84,86
2023-12-05,3,4,8,10,38,43,47,18,8,25,55,64
2023-12-01,4,12,15,22,36,44,46,33,30,71,73,84
2023-11-28,1,18,25,26,30,34,39,20,12,36,68,82
2023-11-24,2,24,25,28,36,37,46,26,62,70,80,85
2023-11-21,7,13,30,34,37,38,42,35,22,46,47,56
2023-11-17,2,23,28,30,31,33,37,50,6,57,58,76
2023-11-14,9,14,15,19,45,47,50,33,6,24,53,81
2023-11-10,7,12,15,16,35,45,48,10,9,29,60,77
2023-11-07,4,6,16,19,29,31,44,22,41,51,57,83
2023-11-03,5,7,9,10,19,24,40,18,20,22,35,70
2023-10-31,22,23,25,26,35,40,44,33,3,6,13,16
2023-10-27,6,17,25,28,30,34,36,15,3,43,76,84
2023-10-24,4,15,16,17,23,27,47,1,7,19,56,96
2023-10-20,3,18,19,21,25,46,50,22,15,25,26,30
2023-10-17,2,7,15,16,18,19,25,35,27,53,56,79
2023-10-13,8,17,20,23,28,31,33,45,29,62,78,96
2023-10-10,5,6,12,28,33,41,47,1,20,55,74,76
2023-10-06,4,17,20,23,25,27,41,7,1,2,7,79
2023-10-03,1,7,10,15,30,34,47,29,21,54,72,89
2023-09-29,2,12,19,26,34,44,46,41,51,58,85,94
2023-09-26,3,7,13,20,22,25,47,23,8,17,24,28
2023-09-22,12,13,19,26,33,39,43,2,10,30,52,95
2023-09-19,4,7,13,20,24,30,48,5,27,79,86,88
2023-09-15,1,2,11,27,31,35,44,18,22,39,50,92
2023-09-12,6,7,9,12,13,32,37,15,63,88,90,99
2023-09-08,15,22,25,29,30,31,34,18,13,14,55,99
2023-09-05,8,20,23,26,38,45,47,33,76,78,88,90
2023-09-01,1,7,15,30,36,37,46,14,31,43,64,96
2023-08-29,13,17,19,22,26,28,40,20,31,69,93,98
2023-08-25,7,12,17,18,37,38,45,40,56,65,71,73
2023-08-22,2,7,12,19,38,42,50,39,15,43,55,92
2023-08-18,1,7,29,36,40,42,50,35,5,6,18,92
2023-08-15,13,15,20,29,31,48,49,18,12,21,87,91
2023-08-11,7,8,23,28,29,31,37,43,30,32,39,41
2023-08-08,7,19,22,34,44,46,49,26,36,52,79,89
2023-08-04,2,11,16,21,32,44,47,13,10,14,27,86
2023-08-01,2,13,26,28,30,43,46,24,11,70,79,82
2023-07-28,4,17,26,28,29,41,48,16,25,51,61,68
2023-07-25,15,16,17,18,43,44,48,50,34,40,74,90
2023-07-21,4,8,14,25,28,40,41,6,4,16,38,63
2023-07-18,2,4,5,15,29,40,49,42,40,67,77,99
2023-07-14,3,11,23,27,39,44,48,17,15,60,72,83
2023-07-11,5,16,23,24,31,40,48,3,12,42,54,79
2023-07-07,12,13,28,32,34,35,40,27,36,51,88,97
2023-07-04,2,9,20,21,23,32,43,1,36,71,76,82
2023-06-30,1,13,19,26,35,42,49,37,13,14,64,99
2023-06-27,1,9,25,31,34,35,38,36,3,26,60,82
2023-06-23,8,19,21,29,33,40,46,25,20,22,27,85
2023-06-20,5,10,24,30,32,43,48,40,6,35,44,76
2023-06-16,11,20,30,34,41,47,49,16,28,58,60,75
2023-06-13,1,2,8,12,24,44,45,26,16,20,65,74
2023-06-09,7,10,12,31,37,42,44,34,18,55,66,67
2023-06-06,4,7,13,16,31,32,39,26,28,55,67,74
2023-06-02,1,12,16,21,29,43,49,8,23,63,68,93
2023-05-30,13,14,18,19,25,29,38,36,53,55,80,98
2023-05-26,2,7,9,12,21,30,37,23,3,13,53,69
2023-05-23,1,7,10,18,23,24,34,3,1,16,47,97
2023-05-19,12,13,35,41,42,44,47,32,3,42,48,77
2023-05-16,11,13,19,25,28,46,49,24,17,21,53,72
2023-05-12,4,5,20,26,28,29,48,44,13,54,77,87
2023-05-09,18,19,31,33,35,40,50,16,6,19,38,74
2023-05-05,8,16,22,24,25,30,32,11,37,56,63,88
2023-05-02,2,12,22,30,32,35,36,1,12,42,57,96
2023-04-28,1,2,12,15,35,39,45,44,1,15,25,58
2023-04-25,4,19,21,33,37,38,39,42,9,24,53,59
2023-04-21,7,8,18,26,33,42,46,39,45,65,83,93
2023-04-18,5,7,16,20,26,30,36,44,13,64,73,74
2023-04-14,17,25,28,30,34,46,49,42,1,58,60,98
2023-04-11,4,5,11,12,31,43,44,15,26,40,71,74
2023-04-07,15,26,34,41,44,45,46,11,5,30,50,53
2023-04-04,6,15,29,32,36,45,48,39,43,61,86,99
2023-03-31,1,3,26,28,36,47,50,48,9,22,36,94
2023-03-28,5,9,12,19,21,22,49,31,27,36,80,96
2023-03-24,5,9,14,23,32,33,46,26,23,29,31,96
2023-03-21,7,15,17,20,32,40,50,21,61,81,95,96
2023-03-17,5,15,17,22,25,37,46,13,69,79,93,95
2023-03-14,4,15,17,24,27,32,41,36,21,39,77,94
2023-03-10,18,19,31,36,38,41,43,8,28,31,65,69
2023-03-07,1,16,26,28,31,44,45,22,6,22,73,88
2023-03-03,10,14,20,37,42,44,46,50,52,65,70,88
2023-02-28,1,3,8,24,35,42,43,18,18,75,90,94
2023-02-24,1,11,15,21,35,48,49,3,60,63,67,95
2023-02-21,2,14,26,31,35,39,49,32,13,62,63,89
2023-02-17,10,12,23,26,39,41,45,42,52,72,74,95
2023-02-14,9,15,21,28,31,36,38,12,19,47,64,77
2023-02-10,6,16,22,23,28,29,34,8,18,20,55,66
2023-02-07,1,13,26,30,37,42,50,10,11,30,85,91
2023-02-03,7,10,15,17,25,39,45,43,2,33,83,99
2023-01-31,2,6,16,23,40,41,48,31,37,78,92,99
2023-01-27,4,5,9,13,29,30,35,20,37,39,48,53
2023-01-24,10,20,25,29,35,42,45,3,29,56,62,76
2023-01-20,9,16,17,19,30,38,49,45,1,8,19,49
2023-01-17,1,2,5,6,16,30,45,19,16,25,35,78
2023-01-13,3,16,17,23,35,37,47,26,13,26,48,82
2023-01-10,10,16,18,33,34,37,45,36,18,34,69,93
2023-01-06,7,14,20,24,35,40,50,15,18,32,72,82
2023-01-03,9,25,32,34,37,46,50,18,21,24,25,43
2022-12-30,6,26,32,37,38,39,46,7,47,58,60,62
2022-12-27,5,6,13,16,31,32,35,36,8,27,57,93
2022-12-23,7,17,20,22,31,36,48,34,7,20,45,64
2022-12-20,3,8,9,20,22,36,50,25,3,14,85,91
2022-12-16,6,22,25,42,43,45,48,47,55,72,92,94
2022-12-13,12,13,14,31,35,39,50,48,13,50,59,76
2022-12-09,2,18,20,22,34,43,48,7,4,55,72,88
2022-12-06,1,2,3,14,17,19,41,30,2,6,19,48
2022-12-02,4,9,14,18,24,30,45,3,36,49,62,89
2022-11-29,1,7,8,19,32,38,39,47,13,23,41,78
2022-11-25,3,6,7,10,25,30,37,9,8,10,26,62
2022-11-22,2,10,12,18,19,21,34,33,14,44,49,51
2022-11-18,3,5,11,17,26,42,49,27,25,70,74,96
2022-11-15,9,12,13,22,25,35,47,24,19,32,58,83
2022-11-11,5,23,34,35,46,47,50,10,23,67,73,89
2022-11-08,4,7,14,18,26,40,42,12,20,32,38,88
2022-11-04,4,8,25,27,32,33,34,16,9,22,68,84
2022-11-01,2,23,27,34,43,46,49,44,33,46,52,75
2022-10-28,12,17,29,30,38,40,50,16,3,24,32,33
2022-10-25,3,6,19,23,26,28,43,46,37,38,70,88
2022-10-21,1,9,25,35,41,43,50,40,38,74,81,83
2022-10-18,12,14,23,25,39,40,44,24,6,28,75,92
2022-10-14,2,24,27,31,40,43,46,13,27,34,51,87
2022-10-11,3,19,33,36,39,40,42,44,50,67,74,91
2022-10-07,7,23,28,31,32,39,40,2,10,49,51,57
2022-10-04,10,18,21,22,37,40,46,25,21,35,42,64
2022-09-30,9,14,36,37,38,40,48,26,42,74,92,99
2022-09-27,10,12,13,26,29,39,46,23,36,53,65,90
2022-09-23,15,17,21,24,28,32,43,27,9,13,39,86
2022-09-20,9,10,11,20,24,31,48,36,27,40,72,99
2022-09-16,2,13,24,34,39,40,46,23,48,55,76,96
2022-09-13,9,10,14,32,35,36,46,47,9,36,44,54
2022-09-09,1,2,15,18,29,32,36,9,3,18,61,90
2022-09-06,16,22,28,30,41,46,47,10,32,59,82,97
2022-09-02,8,17,21,31,34,37,39,7,32,36,37,72
2022-08-30,5,8,12,23,39,41,48,50,1,18,62,90
2022-08-26,3,11,22,26,29,46,48,28,13,27,42,49
2022-08-23,9,13,14,19,37,43,50,4,10,11,52,91
2022-08-19,5,20,26,33,35,46,48,17,1,10,53,55
2022-08-16,1,2,9,21,32,33,43,36,42,76,92,96
2022-08-12,4,10,28,36,40,44,47,19,1,21,22,68
2022-08-09,16,19,25,26,27,33,45,38,17,41,79,93
2022-08-05,7,16,19,33,36,48,49,5,5,24,28,86
2022-08-02,4,5,15,18,22,28,32,19,11,30,37,84
2022-07-29,7,14,17,18,19,23,41,16,8,13,20,82
2022-07-26,3,8,9,15,21,27,31,33,9,32,42,94
2022-07-22,1,9,19,34,37,39,49,6,12,65,85,91
2022-07-19,6,9,17,19,31,34,46,4,13,30,50,57
2022-07-15,4,7,12,18,29,47,49,48,5,29,66,91
2022-07-12,8,11,15,16,26,29,40,37,3,17,40,83
2022-07-08,7,12,14,18,46,47,49,19,7,39,51,92
2022-07-05,12,29,33,35,38,41,46,13,17,25,76,83
2022-07-01,1,11,13,14,25,36,47,50,1,40,62,68
2022-06-28,8,19,22,41,42,46,47,10,16,30,67,83
2022-06-24,3,9,17,19,20,44,50,28,46,55,68,96
2022-06-21,2,4,5,22,32,40,50,43,20,34,50,99
2022-06-17,1,10,12,21,30,39,40,38,17,43,61,86
2022-06-14,11,17,18,25,36,41,50,34,11,65,79,99
2022-06-10,8,14,16,17,19,22,24,23,30,46,55,92
2022-06-07,6,13,17,20,28,36,44,31,1,42,66,81
2022-06-03,2,16,17,21,38,43,45,42,8,34,38,59
2022-05-31,6,13,23,27,35,44,50,37,5,22,31,52
2022-05-27,4,9,21,22,27,31,34,5,15,63,81,97
2022-05-24,12,26,30,31,35,39,45,22,4,24,48,51
2022-05-20,5,6,20,29,42,44,47,14,2,86,89,90
2022-05-17,10,35,38,40,45,47,48,23,3,7,48,84
2022-05-13,2,22,37,38,39,42,47,30,16,25,84,87
2022-05-10,6,15,18,19,20,27,28,24,49,54,67,80
2022-05-06,3,6,11,18,19,28,41,26,11,27,46,95
2022-05-03,6,11,22,24,27,29,33,31,37,47,83,95
2022-04-29,8,9,19,32,37,46,48,45,47,49,57,60
2022-04-26,3,10,15,31,35,38,42,22,41,47,76,88
2022-04-22,13,14,23,30,34,36,42,33,18,29,31,53
2022-04-19,1,6,10,27,42,45,50,43,15,57,61,95
2022-04-15,1,6,18,21,30,32,37,35,7,41,83,91
2022-04-12,3,5,7,19,32,34,50,25,17,27,60,94
2022-04-08,1,2,14,15,21,26,29,4,15,34,53,81
2022-04-05,14,24,34,39,43,48,50,20,19,36,87,94
2022-04-01,7,10,18,29,38,43,50,41,22,27,71,78
2022-03-29,7,17,32,34,39,45,47,42,15,19,33,62
2022-03-25,3,7,16,18,27,32,37,17,55,56,57,71
2022-03-22,14,16,20,26,33,36,48,1,5,26,44,58
2022-03-18,5,7,12,18,26,29,46,25,43,45,92,98
2022-03-15,3,7,12,17,23,38,40,27,20,37,61,79
2022-03-11,5,7,12,22,28,43,47,1,13,47,58,77
2022-03-08,10,12,13,18,25,26,37,39,12,24,43,92
2022-03-04,2,4,14,18,24,46,47,23,24,52,77,93
2022-03-01,5,6,28,36,40,46,50,27,2,3,81,89
2022-02-25,2,4,17,28,35,44,46,5,19,24,30,99
2022-02-22,3,13,26,27,28,36,45,50,3,21,24,40
2022-02-18,2,3,8,11,12,37,49,36,18,46,69,82
2022-02-15,19,26,28,36,40,42,48,6,22,68,69,94
2022-02-11,1,10,12,30,33,34,36,4,14,38,88,93
2022-02-08,16,29,32,34,38,39,47,18,30,37,79,81
2022-02-04,5,15,19,22,37,46,47,1,5,37,54,64
2022-02-01,9,14,24,26,29,39,49,42,39,52,92,94
2022-01-28,3,7,8,10,34,43,47,16,19,42,52,60
2022-01-25,11,13,18,20,23,30,40,37,22,68,79,98
2022-01-21,10,14,21,26,28,36,50,41,51,73,74,84
2022-01-18,2,15,25,28,30,35,38,31,39,40,68,78
2022-01-14,2,4,7,10,14,21,34,26,20,22,36,47
2022-01-11,1,3,24,25,27,36,47,12,16,46,71,90
2022-01-07,4,5,31,39,42,45,50,11,26,61,63,87
2022-01-04,7,8,13,20,25,26,48,36,2,14,70,87
2021-12-31,7,25,30,35,38,40,49,27,6,16,34,94
2021-12-28,11,12,21,27,32,43,49,15,3,22,58,77
2021-12-24,3,11,24,25,29,32,42,16,5,23,51,98
2021-12-21,13,23,26,27,28,38,47,36,46,85,86,99
2021-12-17,9,14,16,33,39,46,49,38,26,33,51,86
2021-12-14,3,21,22,26,28,44,49,34,10,54,66,95
2021-12-10,17,21,27,32,45,46,49,19,30,57,63,82
2021-12-07,9,16,19,24,27,34,40,7,20,86,88,99
2021-12-03,7,18,22,35,37,43,45,44,1,69,79,90
2021-11-30,4,7,8,22,24,30,49,42,2,59,65,69
2021-11-26,9,26,30,35,37,42,50,47,11,70,90,91
2021-11-23,14,17,25,27,31,32,34,20,6,49,73,75
2021-11-19,1,13,14,17,25,28,41,43,1,12,54,66
2021-11-16,5,6,7,17,26,29,42,38,26,38,43,85
2021-11-12,4,6,7,10,17,27,44,40,13,43,71,88
2021-11-09,2,8,16,17,19,26,42,41,3,14,30,33
2021-11-05,2,10,11,17,19,32,42,41,10,33,35,61
2021-11-02,7,13,18,30,33,37,41,6,3,8,46,61
2021-10-29,1,5,17,18,38,41,48,13,41,44,53,64
2021-10-26,2,8,10,14,21,36,40,17,53,55,87,97
2021-10-22,2,11,19,33,44,45,47,42,11,34,52,72
2021-10-19,12,26,28,32,41,43,50,49,12,63,76,81
2021-10-15,14,17,20,24,25,38,48,11,14,47,58,95
2021-10-12,7,11,13,30,38,40,43,45,17,36,52,76
2021-10-08,5,16,19,21,23,31,36,46,10,11,30,81
2021-10-05,2,10,18,19,25,42,48,21,6,47,68,97
2021-10-01,4,8,15,39,40,42,48,5,33,45,51,53
2021-09-28,2,5,8,18,23,31,35,43,39,55,62,84
2021-09-24,5,13,28,35,41,49,50,34,10,37,87,94
2021-09-21,4,8,11,14,15,34,45,7,33,46,64,73
2021-09-17,3,6,10,26,29,35,45,30,12,73,82,90
2021-09-14,17,24,27,33,38,41,48,39,27,76,83,93
2021-09-10,11,28,38,40,43,45,48,33,15,61,76,87
2021-09-07,5,8,31,36,41,42,43,39,16,51,90,96
2021-09-03,1,2,4,10,27,33,45,31,7,15,37,50
2021-08-31,3,11,23,26,31,42,50,24,10,21,58,69
2021-08-27,9,10,13,25,41,47,49,36,19,20,70,95
2021-08-24,1,24,26,29,30,45,50,5,13,34,51,63
2021-08-20,2,6,21,31,34,39,45,33,2,10,18,45
2021-08-17,5,16,18,33,37,38,39,35,50,51,69,89
